Date,temp_c,n_conc,rep,chl (total),yld,F0,Fm,chl (as read),dilution factor
10/13/2023,18,100,A,274.0507,0.27,4094,5576,274.0507,1
10/13/2023,18,100,B,239.7707,0.3,3582,5104,239.7707,1
10/13/2023,18,100,C,256.9107,0.28,3838,5315,256.9107,1
10/13/2023,18,10,A,265.4808,0.39,3966,6465,265.4808,1
10/13/2023,18,10,B,392.7008,0.2,5866,7353,392.7008,1
10/13/2023,18,10,C,376.0908,0.19,5618,6940,376.0908,1
10/13/2023,22,100,A,157.5508,0.21,2354,2970,157.5508,1
10/13/2023,22,100,B,191.9008,0.32,2867,4227,191.9008,1
10/13/2023,22,100,C,206.4908,0.26,3085,4177,206.4908,1
10/13/2023,22,10,A,296.1008,0.29,4020,5636,296.1008,1
10/13/2023,22,10,B,219.3508,0.26,3277,4453,219.3508,1
10/13/2023,22,10,C,253.3008,0.25,3784,5019,253.3008,1
10/13/2023,28,100,A,269.7008,0.38,4029,6467,269.7008,1
10/13/2023,28,100,B,252.5608,0.31,3773,5483,252.5608,1
10/13/2023,28,100,C,204.4208,0.32,3054,4519,204.4208,1
10/13/2023,28,10,A,239.5008,0.33,3578,5371,239.5008,1
10/13/2023,28,10,B,214.5308,0.35,3205,4899,214.5308,1
10/13/2023,28,10,C,137.9308,0.13,2061,2367,137.9308,1
10/14/2023,18,100,A,513.5407,0.22,7264,9278,513.5407,1
10/14/2023,18,100,B,508.0007,0.21,7600,9861,508.0007,1
10/14/2023,18,100,C,495.5507,0.31,7402,10786,495.5507,1
10/14/2023,18,10,A,636.8207,0.28,9812,131186,636.8207,1
10/14/2023,18,10,B,775.4207,0.23,11582,15084,775.4207,1
10/14/2023,18,10,C,746.1607,0.26,11145,15047,746.1607,1
10/14/2023,22,100,A,229.3907,0.26,3427,4603,229.3907,1
10/14/2023,22,100,B,382.7207,0.27,5717,7789,382.7207,1
10/14/2023,22,100,C,347.0407,0.3,5184,7379,347.0407,1
10/14/2023,22,10,A,507.5307,0.27,7581,10330,507.5307,1
10/14/2023,22,10,B,386.0007,0.28,5766,7997,386.0007,1
10/14/2023,22,10,C,501.9707,0.26,7498,10093,501.9707,1
10/14/2023,28,100,A,487.2407,0.34,7278,10950,487.2407,1
10/14/2023,28,100,B,472.5107,0.32,7058,10451,472.5107,1
10/14/2023,28,100,C,337.0607,0.29,5035,7107,337.0607,1
10/14/2023,28,10,A,360.4907,0.28,5385,7499,360.4907,1
10/14/2023,28,10,B,363.2407,0.3,5425,7744,363.2407,1
10/14/2023,28,10,C,114.8308,0.12,1716,1942,114.8308,1
10/15/2023,18,100,A,893.4707,0.19,13345,16383,893.4707,1
10/15/2023,18,100,B,987.0107,0.1,,,987.0107,1
10/15/2023,18,100,C,829.1902,0.24,12385,16383,829.1902,1
10/15/2023,18,10,A,944,0.14,14108,16383,944,1
10/15/2023,18,10,B,1020.402,0.07,14108,16383,1020.402,1
10/15/2023,18,10,C,1093.202,0,16328,16383,1093.202,1
10/15/2023,22,100,A,468.4307,0.13,6097,8045,468.4307,1
10/15/2023,22,100,B,676.4607,0.24,1010,13309,676.4607,1
10/15/2023,22,100,C,662.4707,0.11,9895,11141,662.4707,1
10/15/2023,22,10,A,910.5802,0.17,,,910.5802,1
10/15/2023,22,10,B,783.7307,0.14,11706,5650,783.7307,1
10/15/2023,22,10,C,936.1907,0.15,13983,16383,936.1907,1
10/15/2023,28,100,A,903.1807,0.18,13490,16383,903.1807,1
10/15/2023,28,100,B,740.5402,0.31,11061,16080,740.5402,1
10/15/2023,28,100,C,613.7907,0.23,9168,11899,613.7907,1
10/15/2023,28,10,A,634.9107,0.29,9476,13370,634.9107,1
10/15/2023,28,10,B,627.3207,0.25,9370,12466,627.3207,1
10/15/2023,28,10,C,77.67,0.01,1161,1176,77.67,1
10/16/2023,18,100,A,1809.4414,0.18,13513,16383,904.7207,2
10/16/2023,18,100,B,1629.9814,0.21,12173,15326,814.9907,2
10/16/2023,18,100,C,1776.9014,0.19,13270,16383,888.4507,2
10/16/2023,18,10,A,1741.154,0.21,13003,16383,870.577,2
10/16/2023,18,10,B,1935.3214,0.12,14453,16383,967.6607,2
10/16/2023,18,10,C,1972.5414,0.1,14731,16383,986.2707,2
10/16/2023,22,100,A,1197.8614,0.24,8946,11712,598.9307,2
10/16/2023,22,100,B,1459.1214,0.21,10897,13856,729.5607,2
10/16/2023,22,100,C,1283.4214,0.23,9585,12449,641.7107,2
10/16/2023,22,10,A,1668.8214,0.14,12463,14467,834.4107,2
10/16/2023,22,10,B,1360.8214,0.24,10163,13287,680.4107,2
10/16/2023,22,10,C,1535.7214,0.15,111469,13543,767.8607,2
10/16/2023,28,100,A,1511.6214,0.29,11289,15903,755.8107,2
10/16/2023,28,100,B,1492.0614,0.29,11143,15769,746.0307,2
10/16/2023,28,100,C,1132.7814,0.31,8460,12279,566.3907,2
10/16/2023,28,10,A,1112.5412,0.26,8309,11251,556.2706,2
10/16/2023,28,10,B,1369.5212,0.25,10228,13677,684.7606,2
10/16/2023,28,10,C,34.16,0.01,2637,2669,17.08,2
10/18/2023,18,100,A,2969.4028,0.24,11088,14499,742.3507,4
10/18/2023,18,100,B,3355.0428,0.17,12528,15053,838.7607,4
10/18/2023,18,100,C,3761.6028,0.14,14046,16383,940.4007,4
10/18/2023,18,10,A,2792.0828,0.24,10426,13764,698.0207,4
10/18/2023,18,10,B,2914.2028,0.09,10882,11970,728.5507,4
10/18/2023,18,10,C,2720.0428,0.23,10157,13265,680.0107,4
10/18/2023,22,100,A,2304.0321,0.2,11476,14287,768.0107,3
10/18/2023,22,100,B,3066.621,0.07,15268,16383,1022.207,3
10/18/2023,22,100,C,2933.7921,0.09,14599,16039,977.9307,3
10/18/2023,22,10,A,2441.3721,0.18,12155,14788,813.7907,3
10/18/2023,22,10,B,2317.4421,0.17,11538,13868,772.4807,3
10/18/2023,22,10,C,2256.7821,0.2,11236,14129,752.2607,3
10/18/2023,28,100,A,2578.5621,0.22,12838,16383,859.5207,3
10/18/2023,28,100,B,2790.6924,0.15,13894,16383,930.2308,3
10/18/2023,28,100,C,2188.5024,0.28,11837,16383,729.5008,3
10/18/2023,28,10,A,2727.8124,0.17,13581,16383,909.2708,3
10/18/2023,28,10,B,2744.4924,0.17,13664,16383,914.8308,3
10/18/2023,28,10,C,1.77,0.12,189,171,0.59,3
