Well	temp_c	n_conc	strain	rep
A01	18	100	914	A
A02	18	100	914	B
A03	18	100	914	C
A04	22	100	914	A
A05	22	100	914	B
A06	22	100	914	C
A07	28	100	914	A
A08	28	100	914	B
A09	28	100	914	C
B01	18	10	914	A
B02	18	10	914	B
B03	18	10	914	C
B04	22	10	914	A
B05	22	10	914	B
B06	22	10	914	C
B07	28	10	914	A
B08	28	10	914	B
B09	28	10	914	C
C01	18	100	914	A
C02	18	100	914	B
C03	18	100	914	C
C04	22	100	914	A
C05	22	100	914	B
C06	22	100	914	C
C07	28	100	914	A
C08	28	100	914	B
C09	28	100	914	C
D01	18	10	914	A
D02	18	10	914	B
D03	18	10	914	C
D04	22	10	914	A
D05	22	10	914	B
D06	22	10	914	C
D07	28	10	914	A
D08	28	10	914	B
D09	28	10	914	C
E01	18	100	914	A
E02	18	100	914	B
E03	18	100	914	C
E04	22	100	914	A
E05	22	100	914	B
E06	22	100	914	C
E07	28	100	914	A
E08	28	100	914	B
E09	28	100	914	C
F01	18	10	914	A
F02	18	10	914	B
F03	18	10	914	C
F04	22	10	914	A
F05	22	10	914	B
F06	22	10	914	C
F07	28	10	914	A
F08	28	10	914	B
F09	28	10	914	C
G01	18	100	914	A
G02	18	100	914	B
G03	18	100	914	C
G04	22	100	914	A
G05	22	100	914	B
G06	22	100	914	C
G07	28	100	914	A
G08	28	100	914	B
G09	28	100	914	C
H01	18	10	914	A
H02	18	10	914	B
H03	18	10	914	C
H04	22	10	914	A
H05	22	10	914	B
H06	22	10	914	C
H07	28	10	914	A
H08	28	10	914	B
H09	28	10	914	C
